month,rain_total,rain_hours,temp_mean,temp_min,temp_max,wind_mean
1,285.01,2755,21.309863450292397,10.65,31.52,2.783289796633941
2,298.68,2081,23.50712378017463,12.13,34.12,2.689133628432127
3,726.54,3038,26.06416725146199,14.75,36.23,2.5402165147265077
4,1969.95,6020,27.29050398839739,17.52,37.66,2.170643903912978
5,5631.4,11754,26.330827870057327,18.87,37.23,2.7630879887035564
6,5129.51,18105,24.298449447223767,18.81,36.14,4.56373024691358
7,6003.79,21979,23.406568943876636,18.34,32.25,4.853575567502987
8,5837.58,21156,23.166370210985594,17.83,31.31,4.34301284348865
9,5676.72,17905,23.34700296460997,16.86,31.32,3.2040478395061727
10,6276.4,17273,23.02643954336262,14.55,31.48,2.342225806451613
11,3260.32,11458,21.845000617741537,10.9,30.75,2.752061728395062
12,1260.8,6164,20.827132950741273,8.96,29.7,2.9740355436081245
