team,matches,wins,draws,losses,pen_shootout_wins,pen_shootout_losses,goals_for,goals_against,goal_diff,furthest_stage,avg_possession,total_shots,shots_on_target,corners,fouls,yellow_cards,red_cards,offsides,offside_matches_covered
Algeria,4,1,1,2,0,0,5,9,-4,Round of 32,61.0,44,15,14,29,3,0,4,4
Argentina,5,5,0,0,0,0,14,5,9,Round of 16,60.6,75,32,23,59,3,0,14,5
Australia,4,1,1,1,0,1,3,3,0,Round of 32,41.0,42,12,16,46,5,0,1,3
Austria,4,1,1,2,0,0,6,9,-3,Round of 32,45.0,32,8,10,47,5,0,11,4
Belgium,5,3,2,0,0,0,13,5,8,Round of 16,55.0,107,32,23,60,5,1,7,5
Bosnia–Herz,4,1,1,2,0,0,5,8,-3,Round of 32,46.0,37,14,15,60,8,1,2,4
Brazil,5,3,1,1,0,0,10,4,6,Round of 16,53.0,74,30,27,51,8,0,11,5
Cabo Verde,4,0,3,1,0,0,4,5,-1,Round of 32,37.2,49,12,17,27,5,0,7,4
Canada,5,2,1,2,0,0,9,6,3,Round of 16,54.4,80,31,50,72,11,0,7,5
Colombia,5,3,1,0,0,1,5,1,4,Round of 16,57.8,94,30,24,70,8,0,19,5
Congo DR,4,1,1,2,0,0,5,5,0,Round of 32,40.0,41,9,13,44,6,0,9,4
Croatia,4,2,0,2,0,0,6,7,-1,Round of 32,49.8,37,17,12,45,4,0,8,4
Curaçao,3,0,1,2,0,0,1,9,-8,Group Stage,32.3,29,7,5,32,7,0,5,3
Czechia,3,0,1,2,0,0,2,6,-4,Group Stage,42.7,34,8,15,37,1,0,5,3
Côte d'Ivoire,4,2,0,2,0,0,5,4,1,Round of 32,49.8,45,14,26,29,4,0,4,3
Ecuador,4,1,1,2,0,0,2,4,-2,Round of 32,55.8,53,20,25,49,8,1,2,2
Egypt,5,1,2,1,1,0,8,7,1,Round of 16,51.4,67,18,26,59,13,0,4,5
England,5,4,1,0,0,0,11,5,6,Round of 16,58.2,80,32,31,54,7,1,6,5
France,5,5,0,0,0,0,14,2,12,Round of 16,60.8,88,39,36,49,4,0,7,4
Germany,4,2,0,1,0,1,11,5,6,Round of 32,65.0,74,28,34,51,4,0,4,3
Ghana,4,1,1,2,0,0,2,3,-1,Round of 32,36.2,24,4,8,56,6,0,8,4
Haiti,3,0,0,3,0,0,2,8,-6,Group Stage,42.7,31,7,9,55,7,0,7,3
IR Iran,3,0,3,0,0,0,3,3,0,Group Stage,39.0,37,11,8,35,6,0,9,3
Iraq,3,0,0,3,0,0,1,12,-11,Group Stage,38.3,21,2,7,27,4,1,1,3
Japan,4,1,2,1,0,0,8,5,3,Round of 32,46.2,34,13,13,55,4,0,4,4
Jordan,3,0,0,3,0,0,3,8,-5,Group Stage,30.7,24,9,6,31,4,0,3,3
Korea Republic,3,1,0,2,0,0,2,3,-1,Group Stage,63.0,32,11,12,25,4,0,8,3
Mexico,5,4,0,1,0,0,10,3,7,Round of 16,52.2,70,21,19,58,4,1,5,5
Morocco,5,3,1,0,1,0,10,4,6,Round of 16,60.4,64,25,25,61,6,0,9,5
Netherlands,4,2,1,0,0,1,11,5,6,Round of 32,53.2,46,22,18,44,3,0,8,4
New Zealand,3,0,1,2,0,0,4,10,-6,Group Stage,47.0,31,15,10,32,4,0,4,3
Norway,5,4,0,1,0,0,12,9,3,Round of 16,53.0,53,25,22,48,2,0,4,5
Panama,3,0,0,3,0,0,0,4,-4,Group Stage,45.7,32,7,12,46,5,0,6,3
Paraguay,5,1,1,2,1,0,3,6,-3,Round of 16,30.0,35,8,10,66,10,1,5,3
Portugal,5,2,2,1,0,0,8,3,5,Round of 16,58.4,62,17,22,44,7,0,10,5
Qatar,3,0,1,2,0,0,2,10,-8,Group Stage,33.0,18,7,9,36,4,2,4,3
Saudi Arabia,3,0,2,1,0,0,1,5,-4,Group Stage,38.3,17,7,7,29,6,0,3,3
Scotland,3,1,0,2,0,0,1,4,-3,Group Stage,44.3,29,7,12,42,5,0,2,3
Senegal,4,1,0,3,0,0,10,9,1,Round of 32,55.2,69,23,22,36,3,0,10,4
South Africa,4,1,1,2,0,0,2,4,-2,Round of 32,48.0,39,11,11,38,5,2,8,4
Spain,5,4,1,0,0,0,9,0,9,Round of 16,65.8,93,32,39,55,3,0,9,5
Sweden,4,1,1,2,0,0,7,10,-3,Round of 32,46.2,48,23,18,43,5,0,9,4
Switzerland,5,3,1,0,1,0,9,3,6,Round of 16,56.6,63,25,26,69,6,0,10,5
Tunisia,3,0,0,3,0,0,2,12,-10,Group Stage,39.3,18,6,9,27,1,0,9,3
Türkiye,3,1,0,2,0,0,3,5,-2,Group Stage,66.3,71,16,22,31,3,0,7,3
United States,5,3,0,2,0,0,11,8,3,Round of 16,56.8,59,19,26,56,7,1,11,5
Uruguay,3,0,2,1,0,0,3,4,-1,Group Stage,55.0,49,13,26,31,5,1,14,3
Uzbekistan,3,0,0,3,0,0,2,11,-9,Group Stage,38.3,18,5,9,45,4,0,3,3
