genre,Retain,Condense,Reorder,Omit,Merge,total,retain_pct,omit_pct,condense_pct
Adventure,1165,1565,1018,893,492,5133,22.7,17.4,30.5
Drama,667,768,472,387,235,2529,26.4,15.3,30.4
Fantasy,354,595,361,271,184,1765,20.1,15.4,33.7
Gothic,212,205,199,130,103,849,25.0,15.3,24.1
Gothic_SciFi,168,244,182,150,95,839,20.0,17.9,29.1
Historical,421,565,324,274,172,1756,24.0,15.6,32.2
Horror,290,434,276,232,152,1384,21.0,16.8,31.4
Mystery,204,264,182,125,79,854,23.9,14.6,30.9
Psychological,214,220,175,134,105,848,25.2,15.8,25.9
Romance,398,554,333,274,168,1727,23.0,15.9,32.1
SciFi,177,211,219,129,80,816,21.7,15.8,25.9
