team,matches,wins,draws,losses,points,goals_for,goals_against,goal_difference,shots,shots_on_target,avg_possession,goal_per_shot,goal_per_sot,avg_attendance_seen
France,3,3,0,0,9,10,2,8,48,22,55.67,0.208,0.455,71005.0
Argentina,3,3,0,0,9,8,1,7,34,15,58.33,0.235,0.533,70114.33
Mexico,3,3,0,0,9,6,0,6,35,13,50.33,0.171,0.462,69056.67
Netherlands,3,2,1,0,7,10,4,6,40,20,61.0,0.25,0.5,68817.67
Canada,4,2,1,1,7,9,3,6,70,28,56.75,0.129,0.321,54308.25
Brazil,3,2,1,0,7,7,1,6,41,19,54.0,0.171,0.368,71155.0
Spain,3,2,1,0,7,5,0,5,55,16,69.33,0.091,0.312,60314.67
Switzerland,3,2,1,0,7,7,3,4,45,18,61.67,0.156,0.389,63496.33
England,3,2,1,0,7,6,2,4,58,20,66.0,0.103,0.3,71678.33
Morocco,3,2,1,0,7,6,3,3,48,16,59.0,0.125,0.375,71016.0
Colombia,3,2,1,0,7,4,1,3,59,19,60.33,0.068,0.211,63553.33
Germany,3,2,0,1,6,10,4,6,53,22,61.67,0.189,0.455,63906.67
United States,3,2,0,1,6,8,4,4,44,15,60.0,0.182,0.533,69303.0
Côte d'Ivoire,3,2,0,1,6,4,2,2,31,9,50.67,0.129,0.444,59878.0
Norway,3,2,0,1,6,8,7,1,35,16,48.67,0.229,0.5,69305.0
Croatia,3,2,0,1,6,5,5,0,24,11,53.0,0.208,0.455,60583.0
Portugal,3,1,2,0,5,6,1,5,37,12,62.0,0.162,0.5,67344.0
Japan,3,1,2,0,5,7,3,4,29,11,51.33,0.241,0.636,63555.0
Belgium,3,1,2,0,5,6,2,4,73,20,59.67,0.082,0.3,63196.33
Egypt,3,1,2,0,5,5,3,2,48,13,54.33,0.104,0.385,62065.67
Congo DR,3,1,1,1,4,4,3,1,34,7,40.0,0.118,0.571,60791.33
Sweden,3,1,1,1,4,7,7,0,40,20,48.67,0.175,0.35,63300.33
Austria,3,1,1,1,4,6,6,0,27,8,48.0,0.222,0.75,69407.0
Australia,3,1,1,1,4,2,2,0,26,11,40.67,0.077,0.182,62749.67
Ecuador,3,1,1,1,4,2,2,0,46,19,55.33,0.043,0.105,72511.67
Ghana,3,1,1,1,4,2,2,0,16,4,35.33,0.125,0.5,58416.33
Bosnia & Herz.,3,1,1,1,4,5,6,-1,27,11,44.0,0.185,0.455,59984.33
Algeria,3,1,1,1,4,5,7,-2,36,13,63.0,0.139,0.385,68820.33
South Africa,4,1,1,2,4,2,4,-2,39,11,48.0,0.051,0.182,67186.5
Paraguay,3,1,1,1,4,2,4,-2,23,5,33.67,0.087,0.4,69382.0
Senegal,3,1,0,2,3,8,6,2,50,18,57.67,0.16,0.444,68081.33
IR Iran,3,0,3,0,3,3,3,0,37,11,39.0,0.081,0.273,69116.67
Cabo Verde,3,0,3,0,3,2,2,0,33,7,37.33,0.061,0.286,66640.33
Korea Republic,3,1,0,2,3,2,3,-1,32,11,63.0,0.062,0.182,47250.0
Türkiye,3,1,0,2,3,3,5,-2,71,16,66.33,0.042,0.188,63938.67
Scotland,3,1,0,2,3,1,4,-3,29,7,44.33,0.034,0.143,64256.67
Uruguay,3,0,2,1,2,3,4,-1,49,13,55.0,0.061,0.231,57277.33
Saudi Arabia,3,0,2,1,2,1,5,-4,17,7,38.33,0.059,0.143,66427.0
Czechia,3,0,1,2,1,2,6,-4,34,8,42.67,0.059,0.25,64417.0
New Zealand,3,0,1,2,1,4,10,-6,31,15,47.0,0.129,0.267,58367.33
Qatar,3,0,1,2,1,2,10,-8,18,7,33.0,0.111,0.286,62462.67
Curaçao,3,0,1,2,1,1,9,-8,29,7,32.33,0.034,0.143,68314.33
Panama,3,0,0,3,0,0,4,-4,32,7,45.67,0.0,0.0,55547.0
Jordan,3,0,0,3,0,3,8,-5,24,9,30.67,0.125,0.333,69182.33
Haiti,3,0,0,3,0,2,8,-6,31,7,42.67,0.065,0.286,66903.0
Uzbekistan,3,0,0,3,0,2,11,-9,18,5,38.33,0.111,0.4,72613.33
Tunisia,3,0,0,3,0,2,12,-10,18,6,39.33,0.111,0.333,56873.67
Iraq,3,0,0,3,0,1,12,-11,21,2,38.33,0.048,0.5,58155.33
