venue,matches,total_attendance,avg_attendance,avg_goals
"SoFi Stadium, Inglewood",6,420672,70112.0,3.33
"MetLife Stadium, East Rutherford",5,403197,80639.4,3.2
"AT&T Stadium, Arlington",5,351109,70221.8,3.6
"Reliant Stadium, Houston",5,342630,68526.0,4.2
"Levi's Stadium, Santa Clara",5,342518,68503.6,2.0
"Lincoln Financial Field, Philadelphia",5,341570,68314.0,2.4
"Mercedes-Benz Stadium, Atlanta",5,339799,67959.8,3.2
"Gillette Stadium, Foxborough",5,319527,63905.4,2.4
"GEHA Field at Arrowhead Stadium, Kansas City",4,275079,68769.75,3.25
"Lumen Field, Seattle",4,267550,66887.5,2.5
"BC Place Stadium, Vancouver",5,262485,52497.0,4.2
"Hard Rock Stadium, Miami Gardens",4,255723,63930.75,2.25
"Estadio Banorte, Coyoacán",3,242472,80824.0,3.0
"BMO Field, Toronto",5,215052,43010.4,2.4
"Estadio Akron, Zapopan",4,180930,45232.5,1.5
"Estadio BBVA, Guadalupe",2,102486,51243.0,2.5
"Estadio BBVA Bancomer, Guadalupe",1,50987,50987.0,6.0
